,RMSE,MSE,MaxE,MAE,R2,Modelo,MOD_FALH,Janela,AENV,Normalização,N_Parâmetros,Parâmetros
0,1.0416894804775656,1.0851169737376207,3.7464401194798853,0.753551151799877,0.9499331163175558,MLP,23,10,0,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
1,0.7958171759390337,0.633324977519579,2.3532653909427452,0.6229970588069164,0.9491306924421737,MLP,23,10,1,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
2,1.2811812587724942,1.6414254178298726,4.002770170553475,0.9695919001943617,0.9629123654157582,MLP,23,10,2,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
3,1.3270364423621288,1.7610257193571355,5.603136844372372,0.9294007423371387,0.9441855387888429,MLP,23,10,3,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
4,1.9619248098416207,3.8491489594720796,5.576143225660289,1.369502798279215,0.7430076378051413,MLP,23,10,4,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
5,1.3598389568301654,1.8491619885129524,5.418426844878454,0.9686267843275217,0.9256774132237084,MLP,23,10,5,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
6,2.2236634138680693,4.944678978175396,6.462173998214979,1.7783077658875193,0.9052290402840439,MLP,23,10,6,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
7,1.2796694863171263,1.6375539942111377,3.1174162497375946,1.0193785930661492,0.9673875309494141,MLP,23,10,7,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': (108, 108, 54), 'mlpregressor__learning_rate_init': 0.001, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
0,1.035047508163224,1.0713233441548993,3.309022099319776,0.7417511072589964,0.9505695491304148,SVR,23,10,0,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
1,0.8901465034228736,0.792360797555968,2.61582125272281,0.7227063734439926,0.936356773318019,SVR,23,10,1,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
2,1.408261142683022,1.983199445990891,4.140831672717141,1.0635559023932797,0.9551900588588276,SVR,23,10,2,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
3,1.502611037261506,2.257839929300099,5.996091865047788,1.0609684030663125,0.928439364757872,SVR,23,10,3,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
4,1.822069013691611,3.3199354906551197,4.618787994511393,1.2595431878702226,0.7783411156436448,SVR,23,10,4,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
5,1.3683030979319386,1.8722533678101405,5.637924991144132,0.9651651069910064,0.9247493111686906,SVR,23,10,5,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
6,2.321963385273924,5.391513962552741,6.3650888938790615,1.934554382237695,0.8966648886998836,SVR,23,10,6,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
7,0.9931605298720011,0.9863678380956339,2.2000771362632534,0.8465128070987712,0.9803561343893986,SVR,23,10,7,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.1, 'svr__kernel': 'linear'}"
0,1.0906252702809507,1.189463480175397,3.5513514230572696,0.8130317731334399,0.9451186082719442,LR,23,10,0,"MM(-1,1)",,{'linearregression__n_jobs': -1}
1,0.9218974326914335,0.8498948764030563,2.405228685450716,0.7841277616326673,0.931735577477313,LR,23,10,1,"MM(-1,1)",,{'linearregression__n_jobs': -1}
2,1.3377760341543417,1.7896447175577181,4.069206426113958,1.0353473674630769,0.9595633839957517,LR,23,10,2,"MM(-1,1)",,{'linearregression__n_jobs': -1}
3,1.468871296505246,2.157582885697002,5.865517676333198,1.0372791032150512,0.9316169406500476,LR,23,10,3,"MM(-1,1)",,{'linearregression__n_jobs': -1}
4,1.7228375001473308,2.9681690519139043,4.44648587461473,1.2134245851962273,0.8018271612565371,LR,23,10,4,"MM(-1,1)",,{'linearregression__n_jobs': -1}
5,1.3356807675357218,1.784043112764815,5.39578509364339,0.965541580770594,0.9282947086924831,LR,23,10,5,"MM(-1,1)",,{'linearregression__n_jobs': -1}
6,2.212335202434493,4.894427047930869,6.103028855475799,1.787175620248065,0.906192181405616,LR,23,10,6,"MM(-1,1)",,{'linearregression__n_jobs': -1}
7,1.1865445315323264,1.4078879253092678,2.4552510661889215,1.0314464152525502,0.9719614122324188,LR,23,10,7,"MM(-1,1)",,{'linearregression__n_jobs': -1}
0,1.252214737486596,1.5680417487786245,4.420043572247593,0.950820596620355,0.9276511512165336,MLP,23,10,0,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
1,0.8325652566913407,0.6931649066495181,2.5702738980127435,0.6480118544102997,0.9443242883570683,MLP,23,10,1,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
2,1.394172242558645,1.9437162419210008,4.166506039339133,1.0510116484554288,0.9560821728890192,MLP,23,10,2,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
3,1.3779699948813522,1.8988013067933138,4.9033390230086695,0.9939504342567419,0.9398188392589757,MLP,23,10,3,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
4,2.2431161237228463,5.031569944505408,5.63221758186905,1.5890905782244567,0.6640620928932698,MLP,23,10,4,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
5,1.3890693671236434,1.9295137066812793,5.511077117751476,1.0107495862693592,0.9224478705534137,MLP,23,10,5,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
