,RMSE,MSE,MaxE,MAE,R2,Modelo,MOD_FALH,Janela,AENV,Normalização,N_Parâmetros,Parâmetros
5,1.194768649319799,1.4274721253974572,4.248491645163341,0.8275121417076143,0.9025769295969711,LR,24,10,5,"MM(-1,1)",,{'linearregression__n_jobs': -1}
6,1.2432082857889721,1.5455668418543544,4.397737235629791,0.8725280321187041,0.9177836762420111,LR,24,10,6,"MM(-1,1)",,{'linearregression__n_jobs': -1}
7,0.8220765221298026,0.6758098082370319,3.0268641010659962,0.6151401183551842,0.9655397399860243,LR,24,10,7,"MM(-1,1)",,{'linearregression__n_jobs': -1}
0,1.2336783829833153,1.5219623526403279,5.09030293201878,0.8100328417699337,0.9258350419180076,MLP,24,10,0,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
1,1.6377108881531355,2.6820969531753316,5.820074899002179,1.0750920185023831,0.5863542465148367,MLP,24,10,1,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
2,1.098178776760715,1.2059966257276604,3.2496592981150343,0.826507945292303,0.8470063528788239,MLP,24,10,2,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
3,0.7097719436146541,0.5037762119425238,2.25599874050954,0.5579955675033311,0.9644456428982384,MLP,24,10,3,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
4,1.5922626947656933,2.5353004891425073,4.073822477341025,1.2700711886735963,0.9495507751987879,MLP,24,10,4,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
5,1.4041693081932085,1.9716914460717936,5.513139329483863,0.9080957019180474,0.8654346861517745,MLP,24,10,5,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
6,1.2340067433612545,1.5227726426610488,4.058695329062402,0.8750465792639073,0.9189962121284774,MLP,24,10,6,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
7,0.8320986093474458,0.6923880956779533,2.8414098940810675,0.6154057308781189,0.964694395498807,MLP,24,10,7,"MM(0,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 10, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
0,1.1984829696078418,1.436361428440031,4.86634828427956,0.7793224686409603,0.9300063599168275,SVR,24,10,0,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
1,1.8887052852242792,3.567207654434126,7.377919038364254,1.2349253803238556,0.44984826282676627,SVR,24,10,1,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
2,1.0533378098595583,1.109520541679731,3.217159723356474,0.7885193075764808,0.8592453821128867,SVR,24,10,2,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
3,0.7578595260257459,0.5743510611879682,2.872651134542977,0.5917505446979677,0.9594647737484228,SVR,24,10,3,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
4,1.5667003479388453,2.454549980231699,3.891283812013313,1.261009339138454,0.9511576066549802,SVR,24,10,4,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
5,1.1636250828531118,1.3540233334449114,4.155990019948177,0.812908137237591,0.9075897117747092,SVR,24,10,5,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
6,1.245301804334917,1.5507765838798004,4.139679208151875,0.8848735723661825,0.9175065443668565,SVR,24,10,6,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
7,0.7794404387044761,0.6075273974878261,2.871139475987164,0.555397584752407,0.9690215326444307,SVR,24,10,7,"MM(0,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
0,1.1656460382166638,1.3587306864102042,4.645472216745034,0.7707075727467859,0.9337892923385972,LR,24,10,0,"MM(0,1)",,{'linearregression__n_jobs': -1}
1,1.9756491512699021,3.9031895689134846,7.85339956023752,1.3109823592750693,0.39803153338017905,LR,24,10,1,"MM(0,1)",,{'linearregression__n_jobs': -1}
2,1.0266479857340876,1.0540060866118592,3.298966914567089,0.775954965178668,0.8662879880104394,LR,24,10,2,"MM(0,1)",,{'linearregression__n_jobs': -1}
3,0.7879215542113862,0.6208203755908864,2.8986469173678273,0.6265033112058923,0.9561851695126755,LR,24,10,3,"MM(0,1)",,{'linearregression__n_jobs': -1}
4,1.5175896737933376,2.3030784180041692,3.876714917637841,1.2146961532063394,0.9541716962773081,LR,24,10,4,"MM(0,1)",,{'linearregression__n_jobs': -1}
5,1.1947686493198009,1.4274721253974612,4.248491645163355,0.827512141707616,0.9025769295969708,LR,24,10,5,"MM(0,1)",,{'linearregression__n_jobs': -1}
6,1.2432082857889715,1.5455668418543531,4.397737235629791,0.8725280321187031,0.9177836762420111,LR,24,10,6,"MM(0,1)",,{'linearregression__n_jobs': -1}
7,0.8220765221298021,0.675809808237031,3.0268641010659962,0.615140118355183,0.9655397399860243,LR,24,10,7,"MM(0,1)",,{'linearregression__n_jobs': -1}
0,1.1277939933841385,1.2719192915133422,4.170825638087273,0.8167700003430801,0.9380195963618181,MLP,24,10,0,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
1,1.9274473002932715,3.715053095407821,7.628119968638742,1.2727238920695518,0.42704683547399724,MLP,24,10,1,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
2,1.0513747341370219,1.1053888315816935,3.409366015808601,0.7959740116130889,0.859769533991309,MLP,24,10,2,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
3,0.8384845031254493,0.7030562619815317,3.003851845126249,0.671466044499224,0.9503813145429485,MLP,24,10,3,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
4,1.5468822586364464,2.3928447220841935,3.89261422117697,1.2144102781688366,0.9523854620721316,MLP,24,10,4,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
5,1.1885363592311529,1.412618677214444,4.16950498064061,0.8358834588366287,0.9035906576427348,MLP,24,10,5,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
6,1.4435924436977254,2.0839591435011706,4.113510829815894,1.0263473771309934,0.8891439341213174,MLP,24,10,6,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
7,0.719452677792708,0.5176121555830983,2.610692807119051,0.5618666207916319,0.9736064063433482,MLP,24,10,7,Zscore,,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
0,1.1975244635930091,1.4340648409037244,4.857931220093313,0.7790087244124492,0.9301182722240315,SVR,24,10,0,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
1,1.88998576999936,3.572046210800074,7.383743930532532,1.236224882252765,0.4491020376422502,SVR,24,10,1,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
2,1.0510976372536787,1.1048062430402656,3.188782774716259,0.7882627061686392,0.859843441615777,SVR,24,10,2,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
3,0.7588664682859655,0.5758783166888143,2.883774062143729,0.5926895829412777,0.9593569866275237,SVR,24,10,3,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
4,1.5671325454967049,2.455904415154982,3.8881497689650644,1.2612446140668419,0.9511306551388913,SVR,24,10,4,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
5,1.1607682908706112,1.3473830250906798,4.1431199976879896,0.8125635934811287,0.9080429039714479,SVR,24,10,5,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
6,1.2448884883446318,1.5497473484129825,4.138820926418958,0.8836269199564293,0.9175612944779948,SVR,24,10,6,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
7,0.779611445590954,0.607794006096417,2.8855364018002234,0.5558525471835949,0.9690079379882685,SVR,24,10,7,Zscore,,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
0,1.1656460382166645,1.3587306864102056,4.645472216745048,0.7707075727467854,0.9337892923385971,LR,24,10,0,Zscore,,{'linearregression__n_jobs': -1}
1,1.9756491512699075,3.903189568913506,7.85339956023752,1.3109823592750753,0.39803153338017583,LR,24,10,1,Zscore,,{'linearregression__n_jobs': -1}
2,1.0266479857340847,1.0540060866118532,3.2989669145670746,0.7759549651786664,0.8662879880104402,LR,24,10,2,Zscore,,{'linearregression__n_jobs': -1}
3,0.787921554211385,0.6208203755908844,2.898646917367813,0.6265033112058912,0.9561851695126757,LR,24,10,3,Zscore,,{'linearregression__n_jobs': -1}
4,1.5175896737933205,2.303078418004117,3.8767149176377984,1.2146961532063252,0.9541716962773091,LR,24,10,4,Zscore,,{'linearregression__n_jobs': -1}
5,1.1947686493197693,1.427472125397386,4.2484916451631705,0.8275121417075941,0.9025769295969759,LR,24,10,5,Zscore,,{'linearregression__n_jobs': -1}
6,1.243208285788972,1.545566841854354,4.397737235629776,0.8725280321187034,0.9177836762420111,LR,24,10,6,Zscore,,{'linearregression__n_jobs': -1}
7,0.8220765221298041,0.6758098082370342,3.0268641010659962,0.6151401183551846,0.9655397399860242,LR,24,10,7,Zscore,,{'linearregression__n_jobs': -1}
