,RMSE,MSE,MaxE,MAE,R2,Modelo,MOD_FALH,Janela,AENV,Normalização,N_Parâmetros,Parâmetros
0,1.3754091764622314,1.8917504026965133,4.9796374270934365,0.9265383403132194,0.906092252081224,MLP,24,20,0,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
1,1.3734192497983468,1.886280435716654,4.885565075978903,0.826252877272179,0.6941652832723009,MLP,24,20,1,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
2,1.066984420075841,1.1384557526845784,3.013287359939085,0.8293384734436311,0.64498543119463,MLP,24,20,2,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
3,0.6825724520899806,0.46590515235212887,2.1969443536750504,0.540441792381613,0.9496239194936982,MLP,24,20,3,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
4,1.8102119123667637,3.276867167674536,3.8915198222659058,1.5101727184618725,0.9541404821917232,MLP,24,20,4,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
5,0.8119893563007946,0.6593267147457788,2.261191514217657,0.6322993349010648,0.9115504184671485,MLP,24,20,5,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
6,1.0000179981442583,1.00003599661245,3.8891288239151436,0.7206499095013975,0.8099058192860595,MLP,24,20,6,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
7,0.7552233551929015,0.5703623162288235,2.7034368741997667,0.5551648227782726,0.9716681169708261,MLP,24,20,7,"MM(-1,1)",,"{'mlpregressor__activation': 'tanh', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 25, 'mlpregressor__learning_rate_init': 0.01, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
0,1.180756055408445,1.394184862383711,4.975869375298885,0.765831508961106,0.9307917363610538,SVR,24,20,0,"MM(-1,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
1,1.420610060243189,2.0181329432641575,5.172012150824429,0.8450115969052008,0.6727871925430149,SVR,24,20,1,"MM(-1,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
2,1.0277319467255184,1.0562329543202238,3.23698315156426,0.7716210459980014,0.6706256822438772,SVR,24,20,2,"MM(-1,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
3,0.7480258079620064,0.5595426093772125,2.5434349605840225,0.5852865649330701,0.939499352187055,SVR,24,20,3,"MM(-1,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
4,1.6101179903929288,2.5924799429869636,3.938543616910124,1.306042103680301,0.9637184316514781,SVR,24,20,4,"MM(-1,1)",,"{'svr__C': 400, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
