,RMSE,MSE,MaxE,MAE,R2,Modelo,MOD_FALH,Janela,AENV,Normalização,N_Parâmetros,Parâmetros
0,2.438163161889092,5.944639603993015,6.174769957730547,2.258355543411269,0.7242878066999798,RNN,23,30,1011,"MM(-1,1)",1905,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': True}"
1,2.218358327433617,4.9211136688940735,5.586288953726509,1.9048809797539643,0.771758906592399,RNN,23,30,1011,"MM(-1,1)",1905,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': False}"
2,1.5656037514424659,2.4511151065307226,4.890552123257891,1.2333493413539194,0.8863173603327505,RNN,23,30,1011,"MM(-1,1)",1905,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
3,1.4809594421889214,2.193240869408521,4.266955931851641,1.1058378180801849,0.8982775591419054,RNN,23,30,1011,"MM(-1,1)",1905,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
4,1.302685553249308,1.6969896506444557,4.290710440617644,0.9656019332040713,0.9212936746792283,RNN,23,30,1011,"MM(-1,1)",2787,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': True}"
5,1.2756038486050154,1.6271651785759271,4.079295714566484,0.9864501487367957,0.9245321314440587,RNN,23,30,1011,"MM(-1,1)",2787,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': False}"
6,1.3895960407806938,1.9309771565533793,4.092450680175084,1.0772376941771227,0.9104413416941274,RNN,23,30,1011,"MM(-1,1)",2787,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
7,1.214619642378911,1.4753008756526738,4.281114916599236,0.8362333971719901,0.9315755929206508,RNN,23,30,1011,"MM(-1,1)",2787,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
8,2.87616811083989,8.2723430018123,5.679584105679766,2.63491654843583,0.6163289981065062,RNN,23,30,1011,"MM(-1,1)",3564,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': True}"
9,1.3058231669303206,1.7051741432919318,4.483023028171502,0.9704200332983847,0.9209140781739384,RNN,23,30,1011,"MM(-1,1)",3564,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': False}"
10,1.9791256177597916,3.916938210873077,4.3958877884212555,1.6228599631892386,0.8183325319814052,RNN,23,30,1011,"MM(-1,1)",3564,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
11,1.3484997216957793,1.8184514994135939,4.961345275113359,1.0320887769134244,0.9156602780467529,RNN,23,30,1011,"MM(-1,1)",3564,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
12,1.3261754828810042,1.7587414113946644,4.254748900601641,0.9837286732192596,0.918429630005243,RNN,23,30,1011,"MM(-1,1)",4831,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': True}"
13,1.135101913670392,1.2884563544181857,4.047450621793047,0.8670023705207808,0.9402414357954737,RNN,23,30,1011,"MM(-1,1)",4831,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': False}"
14,1.266591083334784,1.6042529723831818,4.330806334683672,0.9545798769551087,0.9255947988290589,RNN,23,30,1011,"MM(-1,1)",4831,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
15,1.1718056422362968,1.3731284631768201,3.769229491421953,0.9690089962153441,0.9363143461193393,RNN,23,30,1011,"MM(-1,1)",4831,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
16,2.003936143810572,4.015760068470384,5.044409068442022,1.6185215789935383,0.8137491774100306,GRU,23,30,1011,"MM(-1,1)",5832,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': True}"
17,1.845307514451626,3.405159822891638,4.753888584248578,1.4553603730188096,0.8420687971267526,GRU,23,30,1011,"MM(-1,1)",5832,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': False}"
18,1.5324713431514505,2.3484684175804107,4.3173103246508475,1.173976286870979,0.8910781104590435,GRU,23,30,1011,"MM(-1,1)",5832,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
19,1.7022047948318038,2.8975011635483834,4.517794068938834,1.3253849909164426,0.8656139893905965,GRU,23,30,1011,"MM(-1,1)",5832,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
20,1.4388496678033504,2.070288366537812,4.404952994328582,1.1006957604216339,0.9039800922635836,GRU,23,30,1011,"MM(-1,1)",6714,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': True}"
21,1.7428609003292121,3.037564117896352,4.473649563231724,1.3885068891414742,0.8591178740806928,GRU,23,30,1011,"MM(-1,1)",6714,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': False}"
22,1.5024516761326243,2.257361039113732,4.192175325042349,1.146251503750217,0.895303667736896,GRU,23,30,1011,"MM(-1,1)",6714,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
23,1.474874350767365,2.175254350551456,4.143640931731802,1.087879762732869,0.8991117733069798,GRU,23,30,1011,"MM(-1,1)",6714,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
24,1.728083601735336,2.9862729345865713,4.667621215054766,1.384220042290393,0.8614967575100254,GRU,23,30,1011,"MM(-1,1)",10858,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': True}"
25,2.0214388882133663,4.0862151787812895,4.661557651631391,1.6993364297453541,0.8104814716638375,GRU,23,30,1011,"MM(-1,1)",10858,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': False}"
26,1.9706230934429716,3.883355376410747,4.81354140375241,1.7180623985086416,0.8198901027617468,GRU,23,30,1011,"MM(-1,1)",10858,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
27,2.332505092465652,5.440580006378198,5.2432021109488005,2.0783611745159596,0.7476660745968187,GRU,23,30,1011,"MM(-1,1)",10858,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
28,1.4645534907565818,2.144916927287289,4.402439108830535,1.1197518882251323,0.900518822020516,GRU,23,30,1011,"MM(-1,1)",12125,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': True}"
29,1.432011432898597,2.0506567439522927,4.026576987248504,1.0623416993042352,0.9048906062865794,GRU,23,30,1011,"MM(-1,1)",12125,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': False}"
30,1.4093906396234335,1.9863819750581508,4.182842246037566,1.0412802841749882,0.9078716679969903,GRU,23,30,1011,"MM(-1,1)",12125,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
31,1.389511002042931,1.9307408247983504,4.0131058059993805,1.0391726792212432,0.9104523027533111,GRU,23,30,1011,"MM(-1,1)",12125,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
32,2.9479562215117046,8.690445883949566,6.510875693303191,2.543091263350408,0.5969373999040358,LSTM,23,30,1011,"MM(-1,1)",7575,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': True}"
33,2.8808565141475713,8.299334255106496,6.4985542211352225,2.428805108985096,0.6150771446483655,LSTM,23,30,1011,"MM(-1,1)",7575,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': False}"
34,2.839478752879198,8.062639588052404,6.628749838811004,2.3902935679026647,0.6260550356801561,LSTM,23,30,1011,"MM(-1,1)",7575,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
35,3.014442914162972,9.08686608274735,6.492214194279754,2.5896964003007574,0.5785514438562458,LSTM,23,30,1011,"MM(-1,1)",7575,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
36,1.697236831748331,2.8806128630431127,4.840209952336394,1.2773599614213382,0.8663972682238988,LSTM,23,30,1011,"MM(-1,1)",8457,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': True}"
